date,US_price,EU_price,CN_price
2020-06-01,154,175,174
2020-07-01,195,189,194
2020-08-01,230,222,203
2020-09-01,308,241,233
2020-10-01,287,271,241
2020-11-01,314,304,266
2020-12-01,377,399,299
2021-01-01,357,400,333
2021-02-01,370,412,330
2021-03-01,393,383,329
2021-04-01,402,380,326
2021-05-01,367,370,338
2021-06-01,354,371,336
2021-07-01,377,395,338
2021-08-01,428,462,348
2021-09-01,438,444,373
2021-10-01,487,509,445
2021-11-01,446,446,379
2021-12-01,370,408,353
2022-01-01,388,426,344
2022-02-01,405,414,361
2022-03-01,431,453,396
2022-04-01,379,396,380
2022-05-01,329,378,349
2022-06-01,357,392,345
